Clave de la entidad federativa,Entidad federativa,Clave del municipio,Municipio,Social.lag.index.2005,Level.Social.Lag.2005,Poverty.Pct.2010,Extreme.Poverty.Pct.2010,Moderate.Poverty.Pct.2010,Vulnerables.SocialCare.Pct.2010,Educ.Lag.Pct.2010,Lack.Access.To.HealthServices.Pct.2010
20,Oaxaca,20259,San Miguel AhuehuetitlÌÁn,1.62347,High,90.09,56.63,33.45,9.74,59.53,24.52
20,Oaxaca,20260,San Miguel AloÌÁpam,0.4041,Medium,94.74,64.81,29.93,5.26,45.94,43.92
20,Oaxaca,20261,San Miguel AmatitlÌÁn,1.01305,High,95.27,63.36,31.9,4.69,39.08,34
20,Oaxaca,20262,San Miguel AmatlÌÁn,0.23349,Medium,83.49,29.83,53.66,13.44,27.95,67.49
20,Oaxaca,20263,San Miguel CoatlÌÁn,2.52284,Very High,93.6,68.01,25.58,6.22,50.01,21.06
20,Oaxaca,20264,San Miguel Chicahua,1.21784,High,94.63,63.37,31.26,5.15,31.53,32.36
20,Oaxaca,20265,San Miguel Chimalapa,0.9608,High,82.39,43.78,38.62,14.56,34.95,86.4
20,Oaxaca,20266,San Miguel del Puerto,0.96981,High,82.88,42.77,40.11,16.2,43.86,54.9
20,Oaxaca,20267,San Miguel del RÌ_o,0.29255,Medium,85.77,23.14,62.63,13.13,40.29,15.75
20,Oaxaca,20268,San Miguel Ejutla,0.73557,High,68.5,21.07,47.43,29.53,45.95,17.69
20,Oaxaca,20269,San Miguel el Grande,0.5129,Medium,84.07,39.54,44.54,12.53,23.37,41.86
20,Oaxaca,20270,San Miguel Huautla,1.42251,High,94.15,57.45,36.7,5.78,37.15,24.37
20,Oaxaca,20271,San Miguel Mixtepec,2.15197,Very High,96.19,74.98,21.21,3.81,44.87,19.3
20,Oaxaca,20272,San Miguel Panixtlahuaca,1.45313,High,95.47,61.74,33.72,4.2,46.04,82.95
20,Oaxaca,20273,San Miguel Peras,2.10544,Very High,92.79,59.04,33.75,6.98,39.17,15.41
20,Oaxaca,20274,San Miguel Piedras,1.26288,High,97.37,68.14,29.23,2.63,34.47,13.58
20,Oaxaca,20275,San Miguel Quetzaltepec,1.644,High,94,59.64,34.36,5.59,52.64,71.05
20,Oaxaca,20276,San Miguel Santa Flor,1.7509,High,90.42,53.73,36.7,9.44,65.38,52.2
20,Oaxaca,20277,Villa Sola de Vega,1.64084,High,82.69,44.37,38.32,16.6,47.73,18.63
20,Oaxaca,20278,San Miguel Soyaltepec,0.8312,High,79.35,36.73,42.62,18.04,38.13,41.44
20,Oaxaca,20279,San Miguel Suchixtepec,1.22753,High,89.71,53.75,35.96,9.73,35.96,41.99
20,Oaxaca,20280,Villa Talea de Castro,-0.11454,Low,84.93,28.83,56.1,10.31,34.44,54.39
20,Oaxaca,20281,San Miguel TecomatlÌÁn,0.16978,Medium,82.55,29.49,53.06,8.56,34.88,28.47
20,Oaxaca,20282,San Miguel Tenango,0.53779,Medium,95.97,57.2,38.77,2.36,29.47,80.05
20,Oaxaca,20283,San Miguel Tequixtepec,0.53015,Medium,88.22,31.99,56.23,10.95,34.9,25.52
